,freq,prob
jaː,19303,0.0190997028
ɪç,18267,0.0180746138
das,16420,0.0162470662
n,16191,0.016020478
dan,11181,0.0110632428
ɡə,11087,0.0109702328
tn,10200,0.0100925746
ə,10156,0.010049038
daː,9647,0.0095453988
diː,8465,0.0083758475
tə,8207,0.0081205647
s,8147,0.0080611966
dɐ,8028,0.0079434499
viːɐ,7965,0.0078811134
viː,7953,0.0078692398
ziː,7861,0.0077782087
ən,7678,0.0075971361
bɐ,7175,0.0070994336
taːk,6813,0.0067412462
nə,6526,0.0064572688
ʊn,6505,0.00643649
zo,6418,0.0063504063
miːɐ,6213,0.0061475653
ɐ,6151,0.0060862183
deːɐ,5920,0.0058576512
mɪt,5827,0.0057656306
bə,5778,0.0057171467
bɪs,5551,0.0054925374
tseːn,5462,0.0054044748
baɪ,5378,0.0053213595
də,5374,0.0053174016
tən,5255,0.0051996549
van,5207,0.0051521604
deːn,5151,0.0050967502
ɪn,5090,0.0050363926
ɡuːt,5056,0.0050027507
ɒɪç,4972,0.0049196354
tɐ,4825,0.0047741836
zoː,4645,0.0045960793
ɪs,4617,0.0045683742
oː,4606,0.0045574901
aɪn,4581,0.0045327534
uːɐ,4568,0.0045198903
nɔx,4551,0.0045030693
am,4302,0.0042566918
vɐ,4245,0.0042002921
foːɐ,4199,0.0041547766
vɔx,4184,0.0041399345
aʊx,4018,0.0039756828
vas,3903,0.003861894
